country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Albania,ALB,2021-04-29,453248.0,,,19620.0,10036.0,15.75,,,3487.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://twitter.com/gmanastirliu/status/1387881026899386376?s=21
Argentina,ARG,2021-04-29,7715006.0,6806565.0,908441.0,157020.0,145938.0,17.07,15.06,2.01,3229.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Aruba,ABW,2021-04-29,75846.0,54095.0,21751.0,1178.0,1651.0,71.04,50.67,20.37,15464.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,2021-04-29,2112285.0,,,82741.0,46707.0,8.28,,,1832.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,2021-04-29,3054261.0,2225301.0,828984.0,72289.0,48326.0,33.91,24.71,9.2,5366.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,2021-04-29,1471579.0,959804.0,511775.0,15465.0,12802.0,14.51,9.47,5.05,1263.0,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az
Bahrain,BHR,2021-04-29,1224175.0,685353.0,538822.0,7816.0,10649.0,71.94,40.28,31.67,6258.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,2021-04-29,8625350.0,5819656.0,2805694.0,107549.0,125527.0,5.24,3.53,1.7,762.0,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/vpr/Covid-19-Vaccination-Update-29-4-2021.pdf
Belgium,BEL,2021-04-29,3738748.0,2938986.0,800869.0,62457.0,52702.0,32.26,25.36,6.91,4547.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bhutan,BTN,2021-04-29,480330.0,480330.0,,93.0,139.0,62.25,62.25,,180.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4116301265098125/
Brazil,BRA,2021-04-29,41989957.0,28778338.0,13211619.0,986298.0,995000.0,19.75,13.54,6.22,4681.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,2021-04-29,803176.0,595509.0,207667.0,26922.0,14951.0,11.56,8.57,2.99,2152.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,2021-04-29,2241102.0,1329433.0,911669.0,,56447.0,13.4,7.95,5.45,3376.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/195890-2021-04-29-15-32-59.html
Canada,CAN,2021-04-29,13131871.0,12049818.0,1082053.0,305605.0,281891.0,34.79,31.93,2.87,7469.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
China,CHN,2021-04-29,253463000.0,,,9558000.0,6034286.0,17.61,,,4192.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/347a9fa13b3e4a428cae5d54d058fd4e.shtml
Colombia,COL,2021-04-29,4824078.0,3277767.0,1546311.0,109438.0,85631.0,9.48,6.44,3.04,1683.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://app.powerbi.com/view?r=eyJrIjoiYjc0NTBhZGMtZGM2NS00YjA0LTljNGYtYTJkNWI1YTJlYzAwIiwidCI6Ijc0YzBjMjUwLTFjNzctNDA1ZC05YjFlLTlhYzFmNTA4YWJlMyIsImMiOjR9&pageName=ReportSectionad9662980220d3261e68
Cote d'Ivoire,CIV,2021-04-29,140270.0,140270.0,,7836.0,4456.0,0.53,0.53,,169.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1890084301157255
Croatia,HRV,2021-04-29,872726.0,682757.0,189969.0,46887.0,17978.0,21.26,16.63,4.63,4379.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.index.hr/vijesti/clanak/uzivo-bozinovic-govori-o-mjerama/2272681.aspx
Curacao,CUW,2021-04-29,93919.0,71645.0,22274.0,4173.0,2319.0,57.23,43.66,13.57,14132.0,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Czechia,CZE,2021-04-29,3086076.0,2094888.0,995874.0,72843.0,51173.0,28.82,19.56,9.3,4779.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,2021-04-29,1976312.0,1330183.0,646129.0,43769.0,35945.0,34.12,22.97,11.16,6206.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Estonia,EST,2021-04-29,447626.0,331512.0,116114.0,14790.0,7211.0,33.74,24.99,8.75,5436.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Georgia,GEO,2021-04-29,43568.0,43568.0,,1767.0,1462.0,1.09,1.09,,366.0,Oxford/AstraZeneca,Government of Georgia,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3948807915207109/
Germany,DEU,2021-04-29,28774580.0,22393183.0,6381397.0,916388.0,630339.0,34.34,26.73,7.62,7523.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Greece,GRC,2021-04-29,3075698.0,2131890.0,943808.0,66210.0,52417.0,29.51,20.45,9.06,5029.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,2021-04-29,14139.0,8867.0,5272.0,292.0,244.0,24.9,15.62,9.29,4298.0,Pfizer/BioNTech,Government of Greenland,https://corona.nun.gl/emner/statistik/antal_vaccinerede
